word,translate,country
美,beautiful,United States
美国,USA,United States
众议院,House of Representatives,
白宫,White House,
欧洲,Europe,
德国,Germany,Germany
意大利,Italy,Italy
挪威,Norway,Norway
法国,France,France
荷兰,Netherlands,Netherlands
南苏丹,South Sudan,South Sudan
朱巴,juba,
苏,Su,Sudan
苏丹,Sudan,Sudan
新疆,Xinjiang,
土耳其,Türkiye,Turkey
美方,US,United States
英国,U.K.,United Kingdom
中欧,Central Europe,
德中,Dezhong,
维也纳,vienna,
台湾,Taiwan,Taiwan
南海,South China Sea,
总统府,presidential palace,
菲律宾,the Philippines,the Philippines
印度,India,India
国防部,Department of Defense,
高地,Highland,
中情局,CIA,
藏人,Tibetan,
西藏,Tibet,Tibet
国务院,State Council,
驻美,Stationed in the United States,
奥9月,Oku September,
蒙古,Mongolia,Mongolia
Malaita,Malaita,
所罗门,Solomon,Solomon Islands
卡塔尔,Qatar,Qatar
多哈,Doha,
俄,Russian,Russia
俄罗斯,Russia,Russia
日,Day,Japan
日本,Japan,Japan
台北,Taipei,
捷克,Czech Republic,Czech Republic
香港,Hongkong,
印,India,India
美军,U.S. military,
ICC,ICC,
中共,Communist Party of China,
国际,internationality,
泰晤士报,the times,
北京,Beijing,
联合国,United Nations,
罗马,Rome,
奥因,oin,
欧盟,European Union,European Union
福克斯,fox,
伊朗,Iran,Iran
莫斯科,Moscow,
CNN,CNN,
纽约,New York,
驻华,Embassy in China,
英国籍,British nationality,
巴基斯坦,Pakistan,Pakistan
伊,Yi,Iran
巴,-bar,Pakistan
东亚,East Asia,
外交部,Ministry of Foreign Affairs,
中芯国际,SMIC,
华,magnificent,
中东欧,Central and Eastern Europe,
参议院,Senate,
东盟,ASEAN,
立法会,Legislative Council,
澳,Australia,Australia
澳大利亚,Australia,Australia
澳籍,Australian nationality,
湄公河,mekong river,
CGTN,CGTN,
吉尔吉斯斯坦,Kyrgyzstan,Kyrgyzstan
哈萨克斯坦,Kazakhstan,Kazakhstan
蒙古国,mongolia,Mongolia
上合,superior conjunction,
西红柿,tomato,
环球,global,
新,new,Singapore
中德欧,"China, Germany and Europe",
人民,people,
欧班列,Europe train,
澳大利亚人报,The Australian,
戈斯群岛,gos islands,
喀布尔,kabul,Afghanistan
萨本人,saben,
阿富汗,Afghanistan,Afghanistan
梵蒂冈,Vatican,Vatican
上海,Shanghai,
迪士尼,disney,
加勒比,caribbean,
中巴,China and Pakistan,
微软,Microsoft,
内蒙古,Inner Mongolia,
大陆,mainland,
东南亚,Southeast Asia,
以色列,Israel,Israel
巴林,Bahrain,Bahrain
阿联酋,United Arab Emirates,
菅义伟,Yoshihide Suga,
俄方,Russia,
阿人,Aren,
阿和平,A peace,
台,tower,Taiwan
台媒,Taiwan media,
日发,Rifa,
维吾尔族人,Uighur people,
欧方,European side,
路透社,Reuters,
岸信夫,Nobuo Kishi,
洛杉矶,Los Angeles,
《,《,
加州,california,
武汉,Wuhan,
特区,special zone,
Foreign,Foreign,
美智,Michi,
世界,world,
巴方,Pakistan,Pakistan
西沙群岛,Paracel Islands,
马来西亚,Malaysia,Malaysia
中华,China,
柬埔寨,Cambodia,Cambodia
财政部,Ministry of Finance,
钓鱼岛,Diaoyu Islands,
加拿大,Canada,Canada
西班牙,Spain,Spain
COVAX,COVAX,
拉丁美洲,latin america,
圭亚那,Guyana,Guyana
苏里南,Surinam,Surinam
哥伦比亚,Colombia,Colombia
巴西,Brazil,Brazil
台海,Taiwan Strait,
关岛,Guam,
美空军,U.S. Air Force,
安理会,Security Council,
BBC,BBC,
亚太,Asia Pacific,
海峡,strait,
解放军,People's Liberation Army,
梵,Brahma,Vatican
斯里兰卡,Sri Lanka,Sri Lanka
藏族人,Tibetans,
,#VALUE!,
联大,General Assembly,
亚洲,Asia,
华尔街,wall street,
奥称,Austrian title,
奥日前,Okumimae,
委内瑞拉,Venezuela,Venezuela
冯德莱恩,Von der Leyen,
白俄罗斯,belarus,Belarus
韩国,South Korea,South Korea
四国,Shikoku,
阿拉伯,Arab,Saudi Arabia
南南合作,south-south cooperation,
自然,nature,
休斯敦,houston,
富时,FTSE,
南高加索,South Caucasus,
反华,Anti-China,
中古,second hand,
古巴,cuba,Cuba
偿付,pay,
安哥拉,Angola,Angola
南沙,Nansha,
广西,Guangxi,
奥27日,Back 27th,
拉达克,Ladakh,
黎巴嫩,lebanon,Lebanon
日方,Hijikata,Japan
民主,democracy,
欧美,Europe and America,
埃米尔,emir,
科威特,Kuwait,Kuwait
阿卫生,A hygiene,
太平洋,pacific ocean,
第三,third,
比什凯克,Bishkek,
埃斯珀,Esper,
印尼,Indonesia,Indonesia
新加坡,Singapore,Singapore
泰国,Thailand,Thailand
老挝,Laos,Laos
腾讯,Tencent,
国防,national defense,
非洲,Africa,
二十,twenty,
司法部,Ministry of Justice,
朝鲜,North Korea,North Korea
韩,Korea,Korea
中非,central africa,Central africa
塔吉克斯坦,Tajikistan,Tajikistan
360,360,
保安厅,Security Bureau,
81%,81%,
也门,Yemen,Yemen
伊拉克,Iraq,Iraq
利比亚,Libya,Libya
叙利亚,Syria,Syria
埃及,Egypt,Egypt
巴勒斯坦,Palestine,Palestine
沙特,Saudi Arabia,Saudi Arabia
阿尔及利亚,Algeria,Algeria
钢铁厂,Steel Plant,
中车,CRRC,
悉尼,Sydney,
时任,At that time,
Telegram,Telegram,
加密,encryption,
法新社,AFP,
女囚犯,female prisoner,
加中,Canada,
国会,congress,
橙色,orange color,
深圳,Shenzhen,
奥14日,Back 14th,
法轮功,Falun Gong,
广州,Guangzhou,
政府,government,
港,port,
巴布亚新几内亚,papua new guinea,Papua New Guinea
共产主义,communism,
海湾,bay,
瑞典,Sweden,Sweden
斐济,Fiji,Fiji
新西兰,New Zealand,New Zealand
工党,Labor Party,
议会,parliament,
坦桑尼亚,Tanzania,
电信局,Telecommunications Bureau,
印度洋,indian ocean,
洛桑,Lausanne,
中兴,ZTE,
以,by,Israel
联邦,federal,
中亚,Central Asia,
观察家报,observer,
黑山,Montenegro,Montenegro
赞比亚,Zambia,Zambia
湖北,hubei,
南官,Nanguan,
韩媒,Korean media,
阿和谈,peace talks,
阿问题,A question,
奥特加斯称,Ortagus,
外交,diplomatic,
奥布莱恩,o'brien,
民主党,Democratic Party,
兰州,Lanzhou,
重庆市,Chongqing,
纽约州,New York state,
司法,judicial,
英,Britain,United Kimgdom
津巴布韦,Zimbabwe,Zimbabwe
工程处,The Agency,
约旦,Jordan,Jordan
日内瓦,Geneva,
国安,Guoan,
几内亚,Guinea,Guinea
缅甸,Myanmar,Myanmar
越南,Vietnam,Vietnam
穆斯林,Muslim,
巴西人,Brazilian,
美印,US and India,
新德里,New Delhi,
泰,Thai,Thai
奥周四,Thursday,
中塞,Zhongsai,
塞尔维亚,Serbia,Serbia
约翰斯·霍普金斯,Johns Hopkins,
塔利班,Taliban,
阿安全,A safe,
韩为,Han Wei,
南华,Nam Hwa,
海产品,seafood,
澳大利亚州,Australian state,
大概率,High probability,
尼泊尔,Nepal,Nepal
南宁,Nanning,
雅加达,jakarta,
金融,finance,
华航,China Airlines,
通用,Universal,
克什米尔,Kashmir,
奥地利,Austria,Austria
华为,Huawei,
葡萄牙,Portugal,Portugal
科特迪瓦,Cote d'Ivoire,Cote d'Ivoire
比利时,Belgium,Belgium
ETIM,ETIM,
河北,Hebei,
海合会,GCC,
海关,customs,
暂停,pause,
河北京,Hebei,
全国,Nationwide,
台美,Taiwan and the United States,
经济部,Ministry of Economic Affairs,
德,virtue,Germany
菅义,Sugayoshi,
里根,Reagan,
三星,Samsung,
维多利亚州,victoria,
布坦坦,Butantan,
国家,nation,
国药,Sinopharm,
莫德纳,Modena,
民盟,Democratic League,
台独,Taiwan independence,
贸易,trading,
重庆,Chongqing,
波兰,Poland,
APEC,APEC,
不列颠,Britain,United Kingdom
印疫,Indian epidemic,
国台办,Taiwan Affairs Office of the State Council,
证券,securities,
南非,South Africa,South Africa
三军,armed forces,
东京,Tokyo,
埃博拉,Ebola,
刚果,Congo,
