date,i,usa,question,answer,corpus,tri_labels,bin_labels,lab_intensity
2021-02-09,2,2,路透社记者：美国海军称，9日，两个航母战斗群在南海开展了联合演习。你对此有何评论？,汪文斌：美国频繁派舰机进入南海活动，炫耀武力，不利于地区的和平与稳定。中方将继续采取必要措施，坚定捍卫国家主权和安全，同地区国家一道，坚定维护南海和平稳定。,[问题] 路透社记者：美国海军称，9日，两个航母战斗群在南海开展了联合演习。你对此有何评论？ [答案] 汪文斌：美国频繁派舰机进入南海活动，炫耀武力，不利于地区的和平与稳定。中方将继续采取必要措施，坚定捍卫国家主权和安全，同地区国家一道，坚定维护南海和平稳定。,1,0,0.11786228255199105
2022-09-02,1,1,新华社记者：据报道，9月1日，伊朗致函伊核问题全面协议协调员欧盟，就全面协议恢复履约“最终案文”做出新一轮反馈。中方对此有何评论？,赵立坚：我们正在对伊方的最新反馈进行认真研究。初步看，伊方的反馈没有超出其在相关问题上的一贯立场。我们希望各方，特别是美方能够积极回应伊方的合理关切，推动协议的早日达成。中方愿继续为此作出积极努力。,[问题] 新华社记者：据报道，9月1日，伊朗致函伊核问题全面协议协调员欧盟，就全面协议恢复履约“最终案文”做出新一轮反馈。中方对此有何评论？ [答案] 赵立坚：我们正在对伊方的最新反馈进行认真研究。初步看，伊方的反馈没有超出其在相关问题上的一贯立场。我们希望各方，特别是美方能够积极回应伊方的合理关切，推动协议的早日达成。中方愿继续为此作出积极努力。,1,0,0.012236315248022342
2022-09-21,1,2,路透社记者：周二，美国联邦通讯委员会将中资电信企业中国联通、太平洋网络有限公司及其全资子公司信通列入威胁美国国家安全的清单中。外交部对此有何评论？,汪文斌：这是美方借口所谓“国家安全”、滥用国家力量无理打压中国企业的又一案例。美方此举违反市场经济规则，破坏国际经贸秩序，严重损害中国企业利益，我们对此坚决反对。中方敦促美方立即纠正错误，停止无理遏制打压中国企业。我们将继续采取必要措施，坚决维护中国企业合法权益。,[问题] 路透社记者：周二，美国联邦通讯委员会将中资电信企业中国联通、太平洋网络有限公司及其全资子公司信通列入威胁美国国家安全的清单中。外交部对此有何评论？ [答案] 汪文斌：这是美方借口所谓“国家安全”、滥用国家力量无理打压中国企业的又一案例。美方此举违反市场经济规则，破坏国际经贸秩序，严重损害中国企业利益，我们对此坚决反对。中方敦促美方立即纠正错误，停止无理遏制打压中国企业。我们将继续采取必要措施，坚决维护中国企业合法权益。,0,0,-0.712056031979192
2021-08-16,1,3,总台央广记者：据报道，加拿大主审法官赫尔姆斯12日就美国对孟晚舟的“欺诈”指控提出质疑，表示“这样一起欺诈案，却在许多年后并没有造成任何实际损害。而且这起案件所谓的受害者，一家大型机构，看起来里面有不少人都掌握（华为和有关公司关联）情况”。孟晚舟的辩护律师13日在引渡听证会上也指出，美国针对孟晚舟的指控存在致命缺陷，且充满不断变化的理论。中方对此有何评论？,华春莹：我们注意到相关报道。事实早已充分证明，孟晚舟事件就是一起彻头彻尾的政治事件。美方对孟晚舟女士所谓“欺诈”指控纯属捏造。就连美方指控被“欺诈”的汇丰银行也出具了足以证明孟晚舟女士并没有欺诈的文件。事实是非常清楚的。我们敦促美方立即撤销对孟晚舟女士的逮捕令和引渡要求，加方立即纠正错误，尽快释放孟晚舟女士并让她平安回到中国。,[问题] 总台央广记者：据报道，加拿大主审法官赫尔姆斯12日就美国对孟晚舟的“欺诈”指控提出质疑，表示“这样一起欺诈案，却在许多年后并没有造成任何实际损害。而且这起案件所谓的受害者，一家大型机构，看起来里面有不少人都掌握（华为和有关公司关联）情况”。孟晚舟的辩护律师13日在引渡听证会上也指出，美国针对孟晚舟的指控存在致命缺陷，且充满不断变化的理论。中方对此有何评论？ [答案] 华春莹：我们注意到相关报道。事实早已充分证明，孟晚舟事件就是一起彻头彻尾的政治事件。美方对孟晚舟女士所谓“欺诈”指控纯属捏造。就连美方指控被“欺诈”的汇丰银行也出具了足以证明孟晚舟女士并没有欺诈的文件。事实是非常清楚的。我们敦促美方立即撤销对孟晚舟女士的逮捕令和引渡要求，加方立即纠正错误，尽快释放孟晚舟女士并让她平安回到中国。,2,0,0.43474018446389723
2022-03-15,6,5,路透社记者：昨天你提到美国驻乌克兰使馆删除网站上的生物实验室文件。美方称这些实验室旨在预防疫情，而俄罗斯与中方似乎反复暗示，这些实验室有军事目的。请问你最初的消息来源是什么？我发现好像是一个保加利亚的记者2月26日在推特上发布了一些报道情况，声称美国驻乌使馆删除了这些文件，不过她提到的那些文件现在网站上还能看到。这个保加利亚记者的推特是你的消息源吗？还是你是从俄罗斯情报部门或中方自己的情报部门得到的信息？,"赵立坚：根据我们掌握的信息，美方确实删除了相关文件。至于面对国际社会的质疑和反对，美方是否又恢复了文件，又或者你看到的是不是美方漏删的文件，你应该去问美方。应该作出解释和澄清的正是美方。美方有关做法，是在故弄玄虚，还是在欲盖弥彰？你也应该向美方要一个说法。
我要强调的是，国际社会对美国在乌克兰生物实验室问题上的关切，关键在于美国到底做了什么，向世人隐瞒了什么？美方为什么20年来独家反对建立《禁止生物武器公约》多边核查机制？为什么不开放这些生物实验室供国际专家独立调查？这些问题，你可以去问问美方。","[问题] 路透社记者：昨天你提到美国驻乌克兰使馆删除网站上的生物实验室文件。美方称这些实验室旨在预防疫情，而俄罗斯与中方似乎反复暗示，这些实验室有军事目的。请问你最初的消息来源是什么？我发现好像是一个保加利亚的记者2月26日在推特上发布了一些报道情况，声称美国驻乌使馆删除了这些文件，不过她提到的那些文件现在网站上还能看到。这个保加利亚记者的推特是你的消息源吗？还是你是从俄罗斯情报部门或中方自己的情报部门得到的信息？ [答案] 赵立坚：根据我们掌握的信息，美方确实删除了相关文件。至于面对国际社会的质疑和反对，美方是否又恢复了文件，又或者你看到的是不是美方漏删的文件，你应该去问美方。应该作出解释和澄清的正是美方。美方有关做法，是在故弄玄虚，还是在欲盖弥彰？你也应该向美方要一个说法。
我要强调的是，国际社会对美国在乌克兰生物实验室问题上的关切，关键在于美国到底做了什么，向世人隐瞒了什么？美方为什么20年来独家反对建立《禁止生物武器公约》多边核查机制？为什么不开放这些生物实验室供国际专家独立调查？这些问题，你可以去问问美方。",2,0,0.43474018446389723
2023-06-13,1,2,总台央视记者：据报道，美国国务院发言人日前称，美方已致信联合国教科文组织，通知美国计划重新加入该组织决定。昨天，教科文组织总干事阿祖莱向机构成员国代表就此进行了通报。中方对美国重返教科文组织有何评论？,"汪文斌：我们注意到美方有关表态，希望美方这次所作决定是负责任的，初衷是支持多边主义、促进国际合作。
美国曾两次退出联合国教科文组织，对该组织工作产生负面影响。作为国际组织的成员是很严肃的事。如果美方这次是真心诚意重新加入，就应展现遵守国际规则、尊重国际法治的诚意，切实履行作为一个负责任国家应尽的国际义务，包括尽快全额补缴拖欠教科文组织多年的会费，不能把加入国际组织当作逛公园，想来就来，想走就走；更不能把国际组织当作地缘政治的博弈场，假国际社会之公谋求维护自身所谓“全球领导力”之私。","[问题] 总台央视记者：据报道，美国国务院发言人日前称，美方已致信联合国教科文组织，通知美国计划重新加入该组织决定。昨天，教科文组织总干事阿祖莱向机构成员国代表就此进行了通报。中方对美国重返教科文组织有何评论？ [答案] 汪文斌：我们注意到美方有关表态，希望美方这次所作决定是负责任的，初衷是支持多边主义、促进国际合作。
美国曾两次退出联合国教科文组织，对该组织工作产生负面影响。作为国际组织的成员是很严肃的事。如果美方这次是真心诚意重新加入，就应展现遵守国际规则、尊重国际法治的诚意，切实履行作为一个负责任国家应尽的国际义务，包括尽快全额补缴拖欠教科文组织多年的会费，不能把加入国际组织当作逛公园，想来就来，想走就走；更不能把国际组织当作地缘政治的博弈场，假国际社会之公谋求维护自身所谓“全球领导力”之私。",0,0,-0.41026755396785264
2021-09-29,8,5,澎湃新闻记者：我们注意到，今天我驻美国使馆发言人就美方无理遣返中国赴美留学生答记者问。你能否介绍有关情况？,"华春莹：近期以来发生了一些中国留学生被美国执法人员无理盘查并遣返的事件，比如中国驻美国使馆发言人在答记者问中曝光的这起。近日，一名已获得美国政府签发的合法签证的中国赴美留学生在入境时遭到美方无理盘查滋扰，在一处狭小空间内被限制人身自由长达50多个小时，期间正常饮食和休息都无法保障，最终被美方以莫须有的理由经第三国遣返。美方这一举动严重侵犯了中国赴美留学人员的合法权益，导致受害人及其父母身心受到严重伤害。近期还有好几起，比如不久前，有一名中国留学生在离美回国前，在旧金山机场被美方无端盘查近1小时，险些耽误了回国行程。而且，继8月三名中国留学生在入境美国时遭无端盘查并遣返后，短短一个月时间里，又陆续出现了好几起其他案例。美方的无理举动非常不公平、不合法、不道德。中方针对每一起事件，都在第一时间向美方提出了严正交涉，要求他们立即改正错误。
美国这届政府口口声声说欢迎中国留学生，但实际上却仍然延续上届政府的错误做法，限制打压中国学生赴美学习或研究。近期还变本加厉，打着执法的幌子，滥找借口滋扰、盘查甚至遣返中国留学生。据我们了解，在盘查过程中，美方甚至屡次盘问留学生是否是共产党员、是否为中国政府服务，强行掺杂意识形态因素，将人文和学术交流与政治挂钩，甚至有些时候他们事后也承认没有足够证据支持遣返。也就说，美方的有关行动是典型的政治操弄、政治迫害、政治讹诈，是在人为制造对立和对抗。联想到美方有人“捏造”罪名、指责中方怎么样对待在华外国人，这些足以再次显示出美方的虚伪和霸道。
人文交流是中美关系的社会根基，中国赴美留学生为促进中美之间相互了解和友谊发挥了积极作用，正常的教育、文化合作是符合双方共同利益的。我们敦促美方将欢迎中国留学生的表态落到实处，立即停止泛化国家安全概念，停止遣返、盘查、滋扰中国赴美留学人员，停止侵犯中国公民合法权益，确保此类事件不再发生。中方将继续支持中国留学人员依法维护他们的正当合法权益，而且提醒中国赴美留学人员提高安全意识，加强防范。","[问题] 澎湃新闻记者：我们注意到，今天我驻美国使馆发言人就美方无理遣返中国赴美留学生答记者问。你能否介绍有关情况？ [答案] 华春莹：近期以来发生了一些中国留学生被美国执法人员无理盘查并遣返的事件，比如中国驻美国使馆发言人在答记者问中曝光的这起。近日，一名已获得美国政府签发的合法签证的中国赴美留学生在入境时遭到美方无理盘查滋扰，在一处狭小空间内被限制人身自由长达50多个小时，期间正常饮食和休息都无法保障，最终被美方以莫须有的理由经第三国遣返。美方这一举动严重侵犯了中国赴美留学人员的合法权益，导致受害人及其父母身心受到严重伤害。近期还有好几起，比如不久前，有一名中国留学生在离美回国前，在旧金山机场被美方无端盘查近1小时，险些耽误了回国行程。而且，继8月三名中国留学生在入境美国时遭无端盘查并遣返后，短短一个月时间里，又陆续出现了好几起其他案例。美方的无理举动非常不公平、不合法、不道德。中方针对每一起事件，都在第一时间向美方提出了严正交涉，要求他们立即改正错误。
美国这届政府口口声声说欢迎中国留学生，但实际上却仍然延续上届政府的错误做法，限制打压中国学生赴美学习或研究。近期还变本加厉，打着执法的幌子，滥找借口滋扰、盘查甚至遣返中国留学生。据我们了解，在盘查过程中，美方甚至屡次盘问留学生是否是共产党员、是否为中国政府服务，强行掺杂意识形态因素，将人文和学术交流与政治挂钩，甚至有些时候他们事后也承认没有足够证据支持遣返。也就说，美方的有关行动是典型的政治操弄、政治迫害、政治讹诈，是在人为制造对立和对抗。联想到美方有人“捏造”罪名、指责中方怎么样对待在华外国人，这些足以再次显示出美方的虚伪和霸道。
人文交流是中美关系的社会根基，中国赴美留学生为促进中美之间相互了解和友谊发挥了积极作用，正常的教育、文化合作是符合双方共同利益的。我们敦促美方将欢迎中国留学生的表态落到实处，立即停止泛化国家安全概念，停止遣返、盘查、滋扰中国赴美留学人员，停止侵犯中国公民合法权益，确保此类事件不再发生。中方将继续支持中国留学人员依法维护他们的正当合法权益，而且提醒中国赴美留学人员提高安全意识，加强防范。",0,0,-0.41026755396785264
2022-05-27,1,1,深圳卫视记者：据报道，伊朗外长阿卜杜拉希扬在达沃斯世界经济论坛年会上称，美国和北约挑衅行为导致俄发动对乌战争。伊方支持通过对话和外交途径解决俄乌冲突。中方对此有何评论？,"汪文斌：我们注意到阿卜杜拉希扬外长的表态。这再次表明，国际社会对美国在俄乌冲突中应当承担的责任有清醒、客观认识。
事实上，在联合国190多个成员国中，有140多个国家没有参与对俄单边制裁，这些国家人口相加有60多亿。世界上绝大多数国家不赞成采取缺乏国际法依据、没有安理会授权的单边制裁和长臂管辖，都反对选边站队和阵营对抗。
美方应认真倾听国际社会的客观、公正声音，切实反思自身在乌克兰危机中应当承担的责任，尽快同俄罗斯开展全面对话，为危机的政治解决创造条件，而不是再继续做隔岸观火、拱火浇油的事情。","[问题] 深圳卫视记者：据报道，伊朗外长阿卜杜拉希扬在达沃斯世界经济论坛年会上称，美国和北约挑衅行为导致俄发动对乌战争。伊方支持通过对话和外交途径解决俄乌冲突。中方对此有何评论？ [答案] 汪文斌：我们注意到阿卜杜拉希扬外长的表态。这再次表明，国际社会对美国在俄乌冲突中应当承担的责任有清醒、客观认识。
事实上，在联合国190多个成员国中，有140多个国家没有参与对俄单边制裁，这些国家人口相加有60多亿。世界上绝大多数国家不赞成采取缺乏国际法依据、没有安理会授权的单边制裁和长臂管辖，都反对选边站队和阵营对抗。
美方应认真倾听国际社会的客观、公正声音，切实反思自身在乌克兰危机中应当承担的责任，尽快同俄罗斯开展全面对话，为危机的政治解决创造条件，而不是再继续做隔岸观火、拱火浇油的事情。",0,0,-0.8210352045943977
2021-05-18,1,3,湖北广播电视台记者：当前，巴以局势不断升级，但美国16日第三次阻止联合国安理会通过一项呼吁巴以停火止暴和保护平民的联合声明。另据消息人士称，美方已同意向以方出售价值7.35亿美元的精准制导导弹。中方对此有何评论？,"赵立坚：在联合国安理会16日举行的巴以冲突紧急公开会上，绝大多数安理会成员呼吁立即停火，防止爆发全面危机；要求保护平民，避免更大伤亡；坚持政治解决，呼吁巴以双方尽早在“两国方案”基础上恢复和谈；认为安理会应发出一致声音，公正推进巴以和谈进程，努力推动巴以两国实现和平共处。然而，美方非但不积极作为阻止巴以冲突，甚至还准备火上浇油。美方在安理会已陷入空前孤立，完全站在了人类良知、道义的对立面。
国际社会对美国在巴以冲突中的所作所为深感失望。人们不禁要问：这就是美国政府标榜的美式人权与价值观外交吗？美国把维护穆斯林的人权挂在嘴上，为什么对巴勒斯坦人民的人权漠不关心？美国只问亲疏，不问立场，只在乎自己的利益，恐怕只是拿人权当幌子吧？安理会已因美国反对无法就巴以冲突问题采取行动，这就是美国所说的以规则为基础的国际秩序吗？
面对冲突造成越来越多的无辜平民失去生命，美国应该承担应尽责任，采取公正立场，和国际社会大多数成员一道，支持安理会为推动缓解局势、重建信任、政治解决发挥应有作用。","[问题] 湖北广播电视台记者：当前，巴以局势不断升级，但美国16日第三次阻止联合国安理会通过一项呼吁巴以停火止暴和保护平民的联合声明。另据消息人士称，美方已同意向以方出售价值7.35亿美元的精准制导导弹。中方对此有何评论？ [答案] 赵立坚：在联合国安理会16日举行的巴以冲突紧急公开会上，绝大多数安理会成员呼吁立即停火，防止爆发全面危机；要求保护平民，避免更大伤亡；坚持政治解决，呼吁巴以双方尽早在“两国方案”基础上恢复和谈；认为安理会应发出一致声音，公正推进巴以和谈进程，努力推动巴以两国实现和平共处。然而，美方非但不积极作为阻止巴以冲突，甚至还准备火上浇油。美方在安理会已陷入空前孤立，完全站在了人类良知、道义的对立面。
国际社会对美国在巴以冲突中的所作所为深感失望。人们不禁要问：这就是美国政府标榜的美式人权与价值观外交吗？美国把维护穆斯林的人权挂在嘴上，为什么对巴勒斯坦人民的人权漠不关心？美国只问亲疏，不问立场，只在乎自己的利益，恐怕只是拿人权当幌子吧？安理会已因美国反对无法就巴以冲突问题采取行动，这就是美国所说的以规则为基础的国际秩序吗？
面对冲突造成越来越多的无辜平民失去生命，美国应该承担应尽责任，采取公正立场，和国际社会大多数成员一道，支持安理会为推动缓解局势、重建信任、政治解决发挥应有作用。",0,0,-1.013844509990531
2023-08-18,1,1,澎湃新闻记者：据报道，美国国防部17日发布《2023年生物防御态势评估》报告，将中国列为关键长期威胁，质疑中方对现有禁止生物战国际规则的遵约情况，对中方加速整合军民两用生物研究计划提出关切。中方对此有何评论？,"汪文斌：我注意到有关报告。美国出于地缘政治目的，经常编造所谓“威胁”，借机遏制打压别国，维护一己霸权私利。这种做法违背时代潮流，损害的是国际社会的共同利益。
生物安全是全球性问题，美方编造谎言、挑动对抗，严重破坏以《禁止生物武器公约》为基石的生物安全治理体系，损害国际社会携手应对生物安全风险挑战的努力。
就生物安全威胁而言，美国恰恰是世界上生物军事活动数量最多、疑点最多的国家。近年来，美方始终没有对国际社会的关切作出有意义的回应。例如，美国加入《禁止生物武器公约》后，是否仍在暗中发展生物战能力？美国搞生物防御的真实意图是什么？有没有利用其他国家，开展不符合《禁止生物武器公约》和美国国内法的活动？从全球搜集的生物信息和样本用于什么用途？为什么美国独家反对建立生物武器核查机制？
这些问题一天不解决，国际社会就无法建立对美国遵约的信心，维护全球生物安全就无从谈起。中方支持国际社会继续审议美国的遵约问题，再次敦促美方切实履行国际义务。
我也借此机会重申，中方将继续以全球安全倡议为指引，与国际社会一道，坚定维护生物安全国际法权威，促进全球生物安全治理，应对生物安全风险挑战。","[问题] 澎湃新闻记者：据报道，美国国防部17日发布《2023年生物防御态势评估》报告，将中国列为关键长期威胁，质疑中方对现有禁止生物战国际规则的遵约情况，对中方加速整合军民两用生物研究计划提出关切。中方对此有何评论？ [答案] 汪文斌：我注意到有关报告。美国出于地缘政治目的，经常编造所谓“威胁”，借机遏制打压别国，维护一己霸权私利。这种做法违背时代潮流，损害的是国际社会的共同利益。
生物安全是全球性问题，美方编造谎言、挑动对抗，严重破坏以《禁止生物武器公约》为基石的生物安全治理体系，损害国际社会携手应对生物安全风险挑战的努力。
就生物安全威胁而言，美国恰恰是世界上生物军事活动数量最多、疑点最多的国家。近年来，美方始终没有对国际社会的关切作出有意义的回应。例如，美国加入《禁止生物武器公约》后，是否仍在暗中发展生物战能力？美国搞生物防御的真实意图是什么？有没有利用其他国家，开展不符合《禁止生物武器公约》和美国国内法的活动？从全球搜集的生物信息和样本用于什么用途？为什么美国独家反对建立生物武器核查机制？
这些问题一天不解决，国际社会就无法建立对美国遵约的信心，维护全球生物安全就无从谈起。中方支持国际社会继续审议美国的遵约问题，再次敦促美方切实履行国际义务。
我也借此机会重申，中方将继续以全球安全倡议为指引，与国际社会一道，坚定维护生物安全国际法权威，促进全球生物安全治理，应对生物安全风险挑战。",0,0,-0.7623541116477484
